text,century,city,year
поклонъ ѿ грикши къ ѥсифу приславъ ꙩнаньꙗ мол[ви]… ꙗзъ ѥму ѿвѣчалъ не реклъ ми есифъ варити переварꙑ ни на кого ӏ ѡнъ прислалъ къ федосьӏ вари тꙑ пивъ сѣ[д]ишь на безать[щ]инѣ н[е] в[аришь] ж[ита] (…),XIV_2,novgorod,1370
...-орс… …[в]озоу го… ...уки у...,XIV_2,staraya-russa,1350
у хотꙋ[н]а сроцеке,XII_2,torzhok,1190
ѿ герасима къ кюр[и-оу] … …св… …ѥстьнамое… …нн… …а-твор… …поуст-… …-намопопосо…,XIII_2,pskov,1270
… со давꙑдомо ·г· тꙑсѧце …,XIV_1,tver,1310
а се кони турабиѥвы а от ѥздовныхъ жеребець ·в҃· конѧ саврасы лошачька ·в҃· сивъ коуро лошачек гнѣд да -------- лошачек кооуръ да другои с(и)въ ост(а)влен турабьѥвѣ женѣ а (с)традных лошадѣи двоѥ а троѥ жеребѧтъ лоньских да кобыл страдных же ·ѕ҃· да к(о)былка лоньскаѧ а всѣх ѣздовных девѧтер(о) а страдных двоѥнатцатеро двѣ коровы н(а) дворѣ ·в҃· вола а ·ѕ҃· коров ѥго же страдник ѣдѧтъ молок ·г҃· боров в саду и оутича ·еӏ҃· а на погребѣ котел пивнои желѣзен да горнець желѣзен же да вѣдерце мѣдѧно да котел мѣдѧнъ вѣдра въ два да сканець жестѧнъ а стоговъ ·вӏ҃· и стогъ вѣлѣно же турабьѥвѣ челед с людми ѣсти а люди турабьѥвых молодых ѻникѣико молчан игнатко мос(ѣи) баирамъ ахмед ѻнташь жалорь ѥска а страдниковъ ·еӏ҃· созонко мосѣи лухов(ъ) ѻртемик ивака чермен родивонко иванець ѧковъко да четыре паропки д(а) ключник а оу тѣх ѥго людеи четверонатцатеро конь а при сох турабьѥвых а коровъ ·ѳ҃· А в дѣлѣ на людех серебра оу григорьѥца полтин оу ѻстафьѥца полтин оу бѣлка полтин оу семенца полтин оу сидора полтин оу мосѣица полтин оу осѣица полтин оу курьѧна полтин а всего серебра на людехъ турабьѥва в дѣлѣ ·д҃· руб а конюх сказываѥ(т)ъ суждальскиѥ лошад кобыл бура да ворона да пѣга да рыжа тѣ четыре страдныѥ три же ихъ жеребѧтъ а жереб(ч)ики лоньскиѥ (в)орон да рыжь (д)а чал да сивъ да гнѣд бѣлоногъ (д)а кобылки лоньскиѥ (са)враса бѣлонога (г)нѣда бѣлонога ж(е) да гнѣда да голуба да му‐ (х)орта кобылка а страд(ны)ѥ карѧ с жеребѧ‐ (т)емъ да вор(он)ыхъ кобыл двѣ да сива да ворона же кобыла да жеребчикъ гнѣдъ бѣлоногъ да стара кобыла бу(р)а да жеребчикъ четв(е)ртак ворон а всѣхъ л(о)шачков и кобыл (и) жеребѧтъ ѻтдал (ѥс)м(ь к)ощѣю посельского человѣк дватцат(е)ро и шестеро а се дал передъ ѥлбугою п(е)ред ыгумном перед федором ылиин(ь)ским пер(е)д (кл)имом перед петром перед гу(р)ьѥвым Приписка (с поворотом на 180 градусов): а ѧзъ взѧл лошачка ·в҃· сивы д(а ры)жь да гнѣд да ворон да жеребчик ло(ньс)кои рыжь звѣздк(а) в чел ---------------- за-аромъ а конюховъ ѥсм(ь вс)просил перед ѻлексѥ(м)ъ перед оньдрѣ(ѥм)ъ что из стада лошад н(е) погибло ньдр(ѣѥв)о все (т)о имали ѻспода ·р҃·· а ѣда почне------ передъ ѥлбугою перед --------- а что ѧзъ ѻтдал ----------------- (за м?)ною пошло ·ѯ҃· и двоѥ лошад а за мене дашь ·л҃·ро и двоѥ ис(т)орою мо(ѥю) по(ш)ла ·ѳ҃· лошадеи к тобѣ и пошло за (и)ныѥ помора (з)а ѻсподои,XV_1,moscow,1405
а,XII_1,zvenigorod,1130
ѿ микит·ѣ · ко цертоу · цто ѥсм·ь … …‐ руцилъ · оу петра · на городищ·ѣ · н… юрги · бꙑлъ · вꙑдалъ · со дворѧ·н… … не оувѣдалсѧ · а мене вꙑдалъ … (ре)‐ клъ · ѥси железного · по… рубль взѧв·ъ · а тꙑ н(а ѻлекса)‐ ндр[ѣ] · исправи госп… возми · сапозѣ ·,XIV_1,novgorod,1330
(ѿ … къ) …жирѫ н[ь възѧль] еси во [десѧ]ти кѫно …,XII_2,staraya-russa,1190
… лоубоцеве две гривне возвороти опа‐ [кꙑ] т[о] мон(е) …,XII_2,torzhok,1190
мои… бꙑн…,XIII_2,smolensk,1290
а оу даних[е] доуб[е]ничи двои сапоги · оу кюрила оу соух[м]ина сн҃а · измази‐ [ци],XIV_1,pskov,1330
ѿ ѳомѣ · къ тиюнку · къ прокш… кунꙑ · ст[о]го ѳилипа · а ѧ…,XIV_1,tver,1310
поѥхали ·є·смꙑ гн҃е на кострому юрьӏ с матьрью насъ гн҃е оуверънулъ взадь а взѧлъ себѣ с матьрью еӏ҃ бѣл ти оувзѧлъ ·г҃· бѣл по томо гн҃е взѧлъ к҃ бѣл да полътину,XIV_2,moscow,1390
(покло)но [ѿ] дав[ꙑ](да и ѿ) есиѳа · къ матѳѣю · постои · за нашего сироту · молви · дворѧнину · павлу · петрову брату дать · грамотѣ · не дасть · на него ·,XIV_1,novgorod,1330
⟦ѿ⟧ ꙋ микꙋле ·е· къ кꙋне · ꙋ стежира ·е· къ кꙋне · ꙋ городила ·е· къ кꙋне · ꙋ пꙋтѧтѣ ⟦десѧть къ кꙋне⟧ полъ пѧте ⟦ꙋ лъбыне ·е⟧ · ꙋ прибꙑле ·е· къ кꙋне ꙋ стороньке ·е· къ кꙋне · ꙋ петра ·е· ⟦г⟧ къ кꙋне ·,XII_2,staraya-russa,1150
за ѳедоро без дꙋ…,XII_2,torzhok,1190
… д е з о и о з е д …,XII_2,pskov,1190
ѿ илиице · ко илие · шюига дубие переписꙑваете а [б]целꙑ ти лазило · ѧзо дубие ѿимаю по своеи мети а тесно сотесꙑваете · то мои дубо · ваше бортико кралосѧ первꙑ · а нꙑне поеди само семо утверди свою борте,XIV_1,tver,1310
поклоно ѿ ѳилипа ко г… … -- [м]ною про…,XIV_1,novgorod,1310
ѿ дѣдилѣ къ дьмьѧну не с[ъ]ль отрока еду саме и :в҃: гривьнѣ везу,XII_2,staraya-russa,1150
…[бь ѿ но]… …тию и св… … (к)оуно и ць… …ва бла…,XIII_1,torzhok,1210
м…,XIII_1,smolensk,1210
ѿ кюрика и ѿ герасима к аноѳимоу про белоу оже ѥсте не стороговале то прислите со проста занода оу насо коуплѧ есте беле а про себе оже боудьше порожне то боуди к намо а намо ксиноѳоноте измакле а про сеи человеко мꙑ ѥго не знаѥмо а во томо божеꙗ волѧ и твоꙗ,XIII_2,pskov,1270
… сочита оу короман(а) … … (гри)вьно сороке лисичь соро(ке) … …ко осмь шесть бьбороко … …[мал]е п-…,XIII_1,novgorod,1210
ѿ солмира къ нѣжькоу мълъви отрокоу своемоу ати но [ходи]ть … (…),XII_2,staraya-russa,1150
…‐ бѣе нѣ водаси ли а лѧж[ѣ] ти [от] д[о]м[ит]рова дѣни по три рѣзане на месѧце,XII_2,torzhok,1190
пклоно ѿ степана к вацюте что еси взѧле сукна того положено на б҃ь и на тобе вложи его в лодию на борзе а твори своим[ꙑ] сукномо а цто будете наима мꙑ с[е] ведаемо цто,XIII_2,pskov,1290
о сьмнꙋн[ье] къ игꙋчькꙋ чьѧ ти есть корова да молови емꙋ ожь хочьши коровь а едеши по коровꙋ а вьзи три гривьнь,XII_2,novgorod,1190
(…) …з-ке под[ь]лина [г]вѣздъкѣ великѣѣ жьлътое : оже же еси продала то въдаи семоу дѣтьскамоу ---------------- [не] пр[одал]а то оурѣ‐ …,XII_2,staraya-russa,1150
+ ѿ к[ꙑ]-еѧ покланѧние ко ростили добоуди ми конѧ се[л]ема велика добра али ти не пригодитьсѧ [с]е[ле]ма добра а поло,XII_2,torzhok,1190
исе,XII_2,pskov,1170
`+ ѿ гостѧтꙑ къ васильви [е]же ми отьць даѧлъ и роди съдаѧли а то за нимь а нꙑнѣ водѧ новоую женоу а мънѣ не въдасть ничьто же избивъ роукꙑ поустилъ же мѧ а иноую поѧлъ доеди добрѣ сътворѧ,XII_2,novgorod,1170
… събислава в… рекоше : оу поут[ѧ](тѣ) …,XII_2,staraya-russa,1150
(…) (ѿ д)роужине ко гостил[е] … … (коу)пили вьр[ъ]бѧго -а--… …и коуне во трьте,XII_2,torzhok,1190
есть градъ · межу нобомъ и землею а к ному еде посолъ безъ пути · самъ нимъ везе грамоту непсану ·,XIV_2,novgorod,1370
сь грамота ѿ ѧриль ко онание въ волости твоеи толико вода пити в городищѧньх а рушань скорбꙋ про городищѧне аже хоцьши ополош дворѧн аобꙑша нь пакостил-,XII_2,staraya-russa,1170
+ ѿ онуѳрьѣ къ матери пошьлъ петръ къ тебе поемъ конь и мѧтьль лазар(е)‐ въ а воротите конь и мѧтьль а самого посли сѣмо али не послешь [а т]аку же ми вѣсть присли и покланѧю ти сѧ и цѣлую тѧ :,XIII_1,torzhok,1210
· дмитра · гафее · ивана · настасиѧ · · ѧкова · ꙩвдотѣе · микитꙑ · ивана · костѧна · патрикиѧ · варварꙑ · серьгеѧ · максима · федорꙑ · михеѧ · зарее ·,XIII_1,smolensk,1210
{по}поклонъ ѿ смешка фоми цо оставиле воць козе у ми[к]и[шк]а дан[и]лку далъ каз‐ (анъ) (…),XV_1,novgorod,1440
иванѧѧ моловила ѳимь любо коунь восоли пак ли дорго продаю,XII_2,staraya-russa,1170
…[е] вълож[и]…,XII_2,torzhok,1190
-,XII_2,smolensk,1150
сидоре · дворѧнъ ꙗколь,XV_1,novgorod,1440
…‐ ю а [б]ерита а кето ва не во[д]… весте а ѧ солю ѧбетенике : а сол… и лонескоую и нꙑнешенюю не ле[ж]… емоше жено : а оу прихожано б[е]… че иже то ти розроубиле ·,XII_2,staraya-russa,1150
...мови… ...изнановѣ… …е знал[и] … … [с]аме … …не…,XII_2,torzhok,1190
(ѿ) [и]вана ко роусиле вꙑправи ми дъбр… ---ю ѧрине въземи оу кънъзюѧ грв҃ноу оу неж[ѧ]… ал[и] ти не въдасть а въземи (в)ъ треть а ѧ ти… …кь да же ти ми боудете дъбр[о] (а) присълоу ти … оже хъчеши пъ -ъне а присъли -----[е] челъв[е](к)… чи ти поченете (ч)етъ лести(ти) … а не мъзи четъ (м)ълъвити,XII_2,smolensk,1150
,XV_1,novgorod,1440
оу ньжатъкиньӏ :г: кнь : оу … оу стрѣина :в: кнь : оу …,XI_2,staraya-russa,1087
(…) …ꙑ[ль со пѧт]… вьсть : а ·ѧ· посолоу дьскꙑе кнѧжь : а иваноу молови оти восоль сьмь н[а д-сѧ]ть коуно,XII_2,torzhok,1190
… …ин[ъ п]ро… …[ъ] собѣ вѣ… … крилъ ес…,XII_2,smolensk,1150
слово добро ѿ фомѣ к ѥсифу цто позвалъ тебе · сава здѣ су[ду] нѣт[ь] (…),XV_1,novgorod,1425
уо куолотин[и]ца :-҃: гри и девѣ куо[н]- … уо голуози :е҃: гри : у[о] лодꙑге :д҃: гри : [у](о) … уо играта :д҃: гри : [у](о) [с]аве :[е҃]: гри,XII_2,staraya-russa,1170
Фрагменты 1 и 2 …евьник… …[ъ]д… …(кꙋ)пи съ дъв(а) … соли и не … Фрагмент 3 [х]од----ма [а] ко[щ](ѣ)… [ѣ] не к[ꙋ]пи а то воют[-]… Фрагмент 4 …мъ на полъ …,XII_2,torzhok,1190
…ѫлечи порꙋчи(‐) …[в]ъ · а посъли къ ѧ…,XII_2,smolensk,1150
члбтьѥ (ѿ) нестерка гну ивану борисо(вичу) … … [м]ѧ гн҃е ѥси пожа[л]овал… …,XV_1,novgorod,1415
(ѿ) петра къ василеви въдаи :ꙅ: коунъ и гривьноу вꙑшѧтѣ али ти не дасть а пристави на нь отро‐ (к)ъ,XII_2,staraya-russa,1150
кошькѣи,XII_2,torzhok,1190
(…) васидъпизд[ъ]… …,XII_2,smolensk,1150
… ты пришл(и) страдникы …,XV_1,novgorod,1415
ѫ кюрила ногата · [ѫ] олекшѣ кна : ѫ коузьмѣ ·[г](· к)оунѣ ѫ нѣжебоудица · ѫ [дъ]митра ѫ до(ро)[г]онѣжица ·в(· но)[г]атѣ ѫ тоць-овица ·в(· ног)атѣ : ѫ жизнобоуда ·ꙅ къ[р]---- ѫ дан[ӏ]‐ -- (·-· к)оунѣ … …,XII_2,staraya-russa,1150
[оу хо]т-,XIII_1,torzhok,1210
… шь лодьѧ (-)шьла пере… …,XII_2,smolensk,1190
поклонъ ѿ миха[ӏ]л[ѣ] · к осподину своѥму тимофию · землѧ готова надобь сѣмѧна пришли ꙩсподине цлвкъ · с проста · а мꙑ не смиѥмъ ни · ӏмать ржи безъ твоѥго слова,XV_1,novgorod,1415
покланѧнье ѿ мирслава ко жирошькѣ створѧ добрѣ възмѧ поцостое по--[и] ж(е) … …,XII_2,staraya-russa,1170
мацешини же дети се соуте гордосте : непокорение : прекословее : презоресво : хоула : кевета : зломꙑслие : глево : вражда : пеѧнесво : игрꙑ неприѧзнинꙑ и всѧкаѧ злобе : а кало есте клевета · хоула · гнево осоужение прекословее : сваро : бои : зависте : вражда злопоминание : непокорение злосердее : злии помꙑсли : смехотворение : и всѧ игрꙑ бесовескꙑѧ : та же пакꙑ запоисво : резоимание : грабление : разбои : татба · дшегоубление потвори поклепо отрава блоуди прелюбодеѧние цѧротворение,XII_2,torzhok,1190
…вич и брат ѥго к ти‐ (мофѣю) …ъ на дорѣ помѣ‐ … (…)иде на ново к па‐ … …нѣ гн҃е буде ѿ ва‐ (съ) … …е жалуѥте ино … (…)бꙑвать · а вамъ (…) (повѣдать),XV_1,novgorod,1415
… …[л]ав[и]ца г· рѣзанѣ : ѫ ж(и)[р]… … рѣзана : ѫ храпа р(ѣ)[з]ана,XII_2,staraya-russa,1150
(гр)амота ѿ рожнѣгѣ · къ м[ѣ]… (…) присъли · полъ · гривнѣ мо… дьне не присълеши ли · а … (…) въ сол[ь т]и есмь дъ… (…) повѣжь,XII_2,torzhok,1190
да цо бъ ти година ѿт[ъ]править ѻтьцу ино бъ добро да только буде которому мъсель до водълѣ ино надо бꙑ дворѧнине а приставе ино здѣсе филисть ѥхать хоце а судъно ѥсть у мене а хлѣб[ѣ] сухѣи су и тъ саме ѿпразновавъ да поѥдь сѣмъ а хлѣбе здѣсе в,XV_1,novgorod,1415
оу мила гривена : оу михалѧ гривен[а] : оу ильикѣ д{в}овѣ грѣвенѣ оу коснилѣ довѣ : оу к[л]опоушѣ довѣ грѣвенѣ : оу [ѧр]инѣ гривена : оу поутилѣ гривена (оу) ------ (гр)ивена : оу снови-ѣ гривена : оу нѣговита поло (гривенѣ),XII_2,staraya-russa,1150
… любо сѣмо присъли · а · твои п(рип)‐ лꙑваеть · а·же · оу·сторовѣе · а · съд(еж)‐ емъ на товаръ,XII_2,torzhok,1150
… (ѥ)[с]ми сикли · суки · на рики · …у · давꙑдовꙑ присиквали … (оу) …ана оу шеменкина конь пале,XIV_2,novgorod,1390
+ оу малѧтѣ ·в҃· бьрковьска · оу лъбꙑнѣ (бьр)ковьске · оу въ-орѣ ·г҃· бьрковьск- (·) оу къргь бьрковьске · оу домажира бьрков(ьске · о)у жасъка б(ьрковь)ске : оу мал---- (б)ьрковьске оу рꙑка бьрковьске · оу страхот[ѣ] ------ е҃ бьрков(ьскъ · о)[у] промꙑсла [бь]рковьске : оу не[б]ерешѣ бьрко[в](ь)ске оу це… (мелкие изолированные отрезки не воспроизводятся) … …ъногѣ ·в҃· ногатѣ,XII_2,staraya-russa,1150
… ----- (ог)[а]фиѥ уозцинку и вꙑткала и тꙑ ко мнѣ пришли а не угодице с кꙑмъ прислать и тꙑ у себѧ избѣли,XV_1,novgorod,1415
"оу орьшинее поло пѧть рѣзане : оу боришьковее :в҃: ногать : оу короцьковеи :в҃: ногать : оу гюрегевее :з҃: рьзано : оу тьшье :в҃: ногать : оу неделеке безоубаѧ :в҃: ногать : при повороте листа на 180 читается еще одна запись (почерком, похожим на основной, но, видимо, все же не тождественным ему), которая затем была зачеркнута оу милокѣ ѧкиме : пло пѧтѣ",XII_2,staraya-russa,1150
целоб[ит]иѥ  лен[ь](т)ь(ѧ к) …‐ ю ходилъ · ѻ̈сподину · снъ мо(и) (…) … …ѧн[ъ п]шенъке … взѧлъ ·ӏ· кадець пшениц[и] (…) [а нꙑ]ни [ц]то [у] на[съ] … (…),XIV_2,novgorod,1390
+ негошека дове на десѧть коуно оу дедене пѧть коуно оу чюдоке пѧть коуно оу деретокь пѧть коуно оу несодицевее пѧть коуно оу таишинее семе резано оу косениле пѧть коуно оу боришековее тьри коно оу хъловее пѧте коуно оу надеековее пѧте коуно оу поутешине{н}е тьри коуне оу безоуевее цетꙑри коуне,XII_2,staraya-russa,1170
поклоно ѿ карпа · к осподину · моѥму фоми · бꙑло ѥсми ѡсподинь · на пустопьржи · рожь ѥсмь роздилило · с ольксо[ӏ] ·ӏ· съ гафанкомо · ньмного ѡсподинь · ржи · на твою · цасть · два ѡвина · цьтвьрти · а пѧнтьликь видьль самь,XV_1,novgorod,1405
(…) … (гри)вна [и ӏ] коу·но · о[у т]… …дк-·о·ро·мѧ·вь… (…),XII_2,staraya-russa,1150
… …‐ [имъ ц]оловѣкомъ грамотку пришли · таино,XV_1,novgorod,1405
а б в г д е ж [ꙅ] з и ӏ к л м н о п р с т у ф х [ѿ] ѡ ц ч ш щ ъ ꙑ ь ѣ ѧ,XIV_2,staraya-russa,1390
… ухо к тобѣ с васил[ь]ѥмъ со желутковꙑмъ и тꙑ ухо положи на судѣ а на мене се шли на томъ цто еси конь позналъ у нѣмцина и ухо ѥси за мене дале и нѣмцине с себе поводъ сложиле а вег[лесе на в]игуѧ и тꙑ г[риго]--‐ … … на передъ рублѧ на перед[ъ] на мене се не на[дѣ]и,XV_1,novgorod,1405
а б в г … н о - - - т у ѳ х [ѿ] … [ъ] - [ь] ѣ  - …,XIV_2,staraya-russa,1350
(… ѿ) ѻнтана … …у · мъю … · а съ свъѥ‐ … … (с)въѥи · лю‐ … … (ес)мь зьмл‐ (ю) … (ѥ)[р]мълѣ : ц‐ … … [ѻ]спъд‐ (инь) … на ѥрм‐ (ълѣ) … и · пръ ту … …(в)[ѣ]даю : п‐ … …[л]ѣ : так‐ … …нюю : а … …ть ·,XIV_2,novgorod,1390
…а оу плю… …те бере[к](овеско) … … (б)ерекове(ск)- …,XIII_2,staraya-russa,1290
поклоно ѿ фалеѧ ко ѥсифу послале ѧзо к тоби · беросто написаво вꙑшли за[г]-------[ое беросто],XIV_2,novgorod,1390
-,XIII_2,staraya-russa,1290
во ӏмѧ ѡц҃а ӏ сн҃а ӏ ст҃го д[х҃а] … ѳетиниѧ ѿход[ѧ се](го свѣта) … …‐ ь при сво[ѥ](мъ животѣ) …,XV_1,novgorod,1405
…[и] возеехале али ти цега восхоце а молисѧ це‐ …,XIII_2,staraya-russa,1250
…д… мъне…,XV_1,novgorod,1405
…ороуке·,XIII_1,staraya-russa,1210
ѿ ꙗкова · къ ѥвану что слешь ко мнѣ про серебро то вѣдаю аже тꙑ дале серебро на собѣ · то вѣдаю а иного не вѣдаю како ли тꙑ венилесѧ како ли что дале ѥси рубль на собѣ,XIV_2,novgorod,1370
`+ ѿ матеѳеѧ ко винилу добꙑваи вереи дома и по пѧти гривоно крини а ѿтоселе сѧ не надеи а молови потру камо еси дело два воза суща исоправи не исоправищи ли а сто гривено за два воза а цето ти сѧ остало суща то остави ести а тенота купи безо отоступа,XII_2,staraya-russa,1190
…‐ дину своѥму много целомъ бью · а сиротѣ тобѣ осподине и по томъ приходѧ · куньницею на годъ ·,XIV_2,novgorod,1350
поклоно ѿ коленеча ко самоуиле не печали селе ти есемо коломене на лодию,XII_2,staraya-russa,1190
фешке юрьгию целомъ [бьѥ] … соле на борзи не бꙑла ѿ тебе сол[ь] по ·в· года мни [д]а п[р]… … купиле (…),XIV_2,novgorod,1350
… [:]в[:] коуне а оу жидене :в: нога‐ (те) …,XII_2,staraya-russa,1190
… давꙑда ѻбидѧ и ѻ‐ … … [ѡ]нъ …,XIV_2,novgorod,1390
зелени добре,XII_2,staraya-russa,1150
… (съ бра)тьєю · … [г]сне ни … …оривъ … … (же)ребец… …ѧ оу се… …литъ …,XIV_2,novgorod,1350
(…) (ѫ) [и]грь[ц]а полъ (к)ꙋнѣ : ѫ годꙑге ·г· кꙋне [:] (…),XII_2,staraya-russa,1150
…ле (о)[у] ф[е]д[ор](а о)[у в]аси‐ … (ска)зивале,XIV_2,novgorod,1370
ѿ радослава ко хотеславоу възми оу прасъла :в҃: гривене и :е҃: коуно ѧкове брате еби лежѧ ебехото аесово,XII_2,staraya-russa,1150
… (гри)‐ вна : ꙋ селих[ѣ] гривна : ꙋ ѥ… … (ꙋ) [с]мона ·,XIV_2,novgorod,1370
оу : пе:ре:нѣ:га :ꙅ҃: кн҃ъ : оу : съ:бꙑ:сла:ва :ꙅ҃: кн҃ъ : оу : бра:то:нѣ:га :г҃: кн҃ѣ оу : плѣ:ше:вѣе :в҃: кн҃ѣ : оу : сто:и:нѣ:га :в҃: кнѣ : оу : за:ви:жѣ:е :г҃: кнѣ : оу рь:мье : кна : оу : соу:шка :в҃: кн҃ѣ : оу : ѧ:кшѣ :в҃: кнѣ : оу : жѧ:дѣ:на :г҃: рзнѣ оу : поу:ти:лѣ : оу : носо:ви:чѧ :г҃: кнѣ : оу : поу:ти:лѣ : кн҃а : оу : не:бе:ре:ши:нѣ:е :г҃: кнѣ оу : ма:лѧ:тѣ :в҃: кнѣ : оу съ:да:на :г҃: кн҃ѣ : оу : но:са:тъ:кѣ :в҃: кнѣ : оу сестра:тѣ : кн҃а,XII_2,staraya-russa,1150
… [и]ва[н]а · ко … …[у]бе · те ї м… …ите · ꙗз[ъ] … … (са)[м]е · буду · (…),XIV_2,novgorod,1370
… коуно + въдал[ь] есемо коромилѣцоу съ кꙑѧниномо ·з҃· коуно,XII_2,staraya-russa,1190
…кони-- федор- --[с]тък[ꙋ] ꙩко ростави[л]и [сох-] …,XIV_2,novgorod,1390
… [у п]р[у]сов[ѣ]е гривна б[ь]з рѣзанѣ вода …,XII_2,staraya-russa,1190
… [фе]дорко в горо‐ (д)- …,XIV_2,novgorod,1390
поклонъ ѿ грорьи ѥрмолѣ и ѡзѣкѣю · посласмь к тобѣ шесть боцекъ вина · какъ палѣцѣ хвати и тꙑ то ѡсмотри горазно а продаи какъ и тѣ по тому же и ли то продале тꙑ то ѿшли а моимъ роб[ѣт]амъ не даваи серебра по[шл]и з долгомъ,XIV_2,staraya-russa,1390
…[ть] в неи гвозду · а стоѧть во потклѣтѣ кто придеть з беростомъ …,XV_1,novgorod,1415
